ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2020-21,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2019-20,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2018-19,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2017-18,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2016-17,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2015-16,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2014-15,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2013-14,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2012-13,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2011-12,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2010-11,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2009-10,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2008-09,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2007-08,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2006-07,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2005-06,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2004-05,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2003-04,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2002-03,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2001-02,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2000-01,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1999-00,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1998-99,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1997-98,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1996-97,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1995-96,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1994-95,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1993-94,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1992-93,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1991-92,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1990-91,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1989-90,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1988-89,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1987-88,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1986-87
NEW JERSEY,31304353861,30193908678,29860851023,28607597596,27622860751,26825114281,26383735231,25733921066,25417319683,24391278492,23639280501,24261391884,23446911138,24357079038,22448261925,20869992706,19669575984,18416695211,17185966478,15822609321,14773649710,13327644842,12874579398,12056559864,11771941014,11208557657,10776981862,10448096085,9915482423,9660898957,8897612263,8119336072,7309147184,6621859505,6099472530
NEW MEXICO,3774330631,3847754590,3490739546,3330969751,3345338106,3343151640,3309621733,3189841721,3099308151,3039423459,3127463179,3217328270,3186252430,3057060748,2904473637,2729706947,2554638332,2446114618,2281607599,2204164832,2022093339,1890274415,1788381525,1659891331,1557375632,1517517331,1441077543,1323458614,1240309851,1212189272,1134156033,1020148062,975552367,916304662,865789009
NEW YORK,66439454894,66108404992,65549087360,62771529591,60905055442,59161438764,56862009593,55080661936,52938585763,52460493744,51509285302,50251460977,48635363039,46443425956,43679907987,41149456799,38866853389,36205111055,34546965060,32218975035,30884292252,28433240274,26885443539,25332735272,24237290623,23522460806,22989629484,22059949237,20898266905,19781384081,19514583050,18090978038,17127596381,16073391675,14724686544
NORTH CAROLINA,15921684080,15452367316,15213244944,14465107515,13943069928,13466942267,13210839362,12685461079,12666607169,12303426226,12322554692,12200362233,12598382313,11482912000,11248336069,10476055572,9835549760,8994620325,8766968037,8543289847,8201900594,7713292863,7097881730,6497648309,5964938959,5582993899,5440425576,5145416479,4930822881,4660027317,4605383559,4342825997,3892971076,3424194327,3193336742
NORTH DAKOTA,1740352805,1655922218,1597597321,1542633207,1510291924,1451309480,1375937776,1250668212,1174364407,1098089528,1049772220,1000094934,928527769,886317147,838221129,857774401,832156711,749696669,716006715,711436996,668814451,638945775,625428132,599442750,577498194,557043207,534631516,522376789,511094642,491292548,460581030,459390681,431813848,385427167,374941215
OHIO,23675934384,23199550922,22778613220,21975445562,21494254408,20484181526,20231423137,19714148905,19506122951,19701810041,19988921291,19801670257,19387317649,18892373975,18251360694,17829599006,17167865841,16662984984,15868493831,14774065008,13893494904,12974574819,12138936833,11448721847,10948073713,10408022335,10030956311,9612678492,9173393260,9124731457,8407427906,7994378502,7484434445,6446903308,6114426295
OKLAHOMA,6999259286,6611657035,6432157467,5681424349,5496401542,5606044117,5560047046,5451047732,5329897044,5170977526,5036031109,5192123907,5082062487,4932912571,4750535868,4406002391,4161023607,3853307660,3804570361,3875547069,3750541835,3382581477,3332697291,3138690408,2990044166,2804088103,2763720664,2680113155,2442320075,2268958135,2107513238,1905331677,1833743108,1692283036,1707395528
OREGON,7751945804,7480233438,7246638383,6911761963,6514333635,6238573658,5969320521,5647469530,5395741686,5389272946,5430888249,5401667148,5529830998,5409629839,5039632424,4773750566,4458027631,4199484874,4150747225,4214511884,4112068630,3896287346,3706044203,3474714062,3184099965,3056800662,2948539102,2852723243,2849009382,2626803344,2453933638,2297943804,2123241148,1944656686,1747124644
PENNSYLVANIA,30375252059,29748923822,29235226192,28279576905,27263106109,26045127157,25109991242,24264550688,23712930530,23190198130,23485203140,22733517840,21831816127,21157430428,20404303575,19631006205,18711099728,17680332453,16344438806,15550974993,14895316027,14120112315,13532210516,13084858949,12820703627,12374072509,11587027181,11236416862,10944391729,10371795971,10087322227,9496787675,8579546272,7679986198,7176886100
RHODE ISLAND,2617982425,2544538711,2515700234,2423529092,2362462508,2283927009,2242485516,2182976239,2121403207,2167450184,2149365746,2136581790,2139317208,2134608941,2039632928,1934429372,1825900447,1765585307,1647586583,1533455161,1465703301,1393142604,1283858979,1215594882,1151887973,1094184906,1050969422,990094016,934814715,865897575,823655295,801907894,747852277,663800481,608317846
